date,price
1971-12-08,3.1275
1971-12-09,3.1238
1971-12-10,3.1163
1971-12-13,3.1088
1971-12-14,3.1375
1971-12-15,3.1425
1971-12-16,3.1538
1971-12-17,3.1700
1971-12-20,3.1425
1971-12-21,3.1475
1971-12-22,3.1463
1971-12-23,3.1538
1971-12-27,3.1493
1971-12-28,3.1310
1971-12-29,3.1468
1971-12-30,3.1585
1972-01-03,3.1163
1972-01-04,3.1013
1972-01-05,3.1425
1972-01-06,3.1450
1972-01-07,3.1438
1972-01-10,3.1150
1972-01-11,3.1188
1972-01-12,3.0725
1972-01-13,3.0713
1972-01-14,3.0700
1972-01-17,3.1550
1972-01-18,3.1288
1972-01-19,3.1375
1972-01-20,3.1500
1972-01-21,3.1588
1972-01-24,3.1500
1972-01-25,3.1875
1972-01-26,3.1600
1972-01-27,3.1763
1972-01-28,3.1200
1972-01-31,3.1438
1972-02-01,3.1463
1972-02-02,3.1600
1972-02-03,3.1675
1972-02-04,3.1763
1972-02-07,3.1650
1972-02-08,3.1438
1972-02-09,3.1413
1972-02-10,3.1413
1972-02-11,3.1613
1972-02-14,3.1738
1972-02-15,3.1700
1972-02-16,3.1700
1972-02-17,3.2050
1972-02-18,3.2088
1972-02-22,3.1950
1972-02-23,3.2488
1972-02-24,3.2635
1972-02-25,3.2918
1972-02-28,3.3345
1972-02-29,3.3420
1972-03-01,3.3375
1972-03-02,3.3775
1972-03-03,3.3837
1972-03-06,3.4075
1972-03-07,3.3962
1972-03-08,3.4525
1972-03-09,3.4575
1972-03-10,3.4450
1972-03-13,3.4350
1972-03-14,3.3750
1972-03-15,3.3775
1972-03-16,3.3800
1972-03-17,3.4375
1972-03-20,3.4400
1972-03-21,3.4225
1972-03-22,3.4200
1972-03-23,3.4225
1972-03-24,3.4425
1972-03-27,3.4350
1972-03-28,3.4425
1972-03-29,3.4387
1972-03-30,3.4350
1972-04-03,3.4225
1972-04-04,3.5025
1972-04-05,3.5075
1972-04-06,3.5350
1972-04-07,3.5337
1972-04-10,3.5400
1972-04-11,3.5375
1972-04-12,3.5825
1972-04-13,3.5862
1972-04-14,3.5637
1972-04-17,3.5762
1972-04-18,3.5050
1972-04-19,3.4950
1972-04-20,3.5225
1972-04-21,3.5275
1972-04-24,3.5175
1972-04-25,3.5680
1972-04-26,3.5300
1972-04-27,3.4665
1972-04-28,3.4930
1972-05-01,3.5000
1972-05-02,3.5200
1972-05-03,3.5125
1972-05-04,3.5125
1972-05-05,3.5375
1972-05-08,3.5450
1972-05-09,3.5150
1972-05-10,3.5125
1972-05-11,3.5325
1972-05-12,3.5225
1972-05-15,3.5400
1972-05-16,3.6075
1972-05-17,3.5962
1972-05-18,3.6025
1972-05-19,3.6012
1972-05-22,3.5550
1972-05-23,3.4850
1972-05-24,3.5200
1972-05-25,3.5400
1972-05-26,3.5212
1972-05-30,3.4700
1972-05-31,3.5000
1972-06-01,3.5137
1972-06-02,3.5037
1972-06-05,3.5025
1972-06-06,3.5150
1972-06-07,3.5450
1972-06-08,3.5300
1972-06-09,3.5287
1972-06-12,3.5075
1972-06-13,3.4975
1972-06-14,3.4762
1972-06-15,3.4662
1972-06-16,3.4887
1972-06-19,3.4550
1972-06-20,3.4287
1972-06-21,3.4475
1972-06-22,3.4225
1972-06-23,3.4237
1972-06-26,3.4125
1972-06-27,3.4495
1972-06-28,3.4425
1972-06-29,3.4580
1972-06-30,3.4805
1972-07-03,3.5475
1972-07-05,3.5775
1972-07-06,3.5500
1972-07-07,3.5225
1972-07-10,3.5075
1972-07-11,3.4987
1972-07-12,3.5200
1972-07-13,3.4662
1972-07-14,3.5012
1972-07-17,3.4725
1972-07-18,3.4875
1972-07-19,3.4825
1972-07-20,3.4575
1972-07-21,3.4850
1972-07-24,3.4925
1972-07-25,3.4712
1972-07-26,3.4655
1972-07-27,3.4450
1972-07-28,3.4410
1972-07-31,3.3812
1972-08-01,3.3337
1972-08-02,3.3612
1972-08-03,3.3812
1972-08-04,3.4750
1972-08-07,3.4925
1972-08-08,3.5075
1972-08-09,3.4850
1972-08-10,3.4600
1972-08-11,3.4925
1972-08-14,3.4700
1972-08-15,3.4225
1972-08-16,3.4425
1972-08-17,3.4237
1972-08-18,3.4625
1972-08-21,3.4387
1972-08-22,3.4325
1972-08-23,3.4425
1972-08-24,3.4525
1972-08-25,3.4587
1972-08-28,3.4030
1972-08-29,3.3805
1972-08-30,3.3675
1972-08-31,3.3805
1972-09-01,3.4000
1972-09-05,3.4275
1972-09-06,3.3900
1972-09-07,3.3900
1972-09-08,3.3725
1972-09-11,3.3475
1972-09-12,3.3700
1972-09-13,3.3150
1972-09-14,3.3700
1972-09-15,3.4075
1972-09-18,3.3975
1972-09-19,3.3662
1972-09-20,3.3675
1972-09-21,3.3875
1972-09-22,3.3700
1972-09-25,3.4175
1972-09-26,3.4350
1972-09-27,3.4275
1972-09-28,3.4450
1972-09-29,3.4762
1972-10-02,3.3900
1972-10-03,3.4112
1972-10-04,3.4037
1972-10-05,3.4275
1972-10-06,3.3850
1972-10-09,3.3425
1972-10-10,3.3475
1972-10-11,3.3675
1972-10-12,3.3737
1972-10-13,3.3200
1972-10-16,3.3350
1972-10-17,3.3375
1972-10-18,3.3625
1972-10-19,3.3700
1972-10-20,3.3800
1972-10-23,3.4025
1972-10-24,3.4387
1972-10-25,3.4275
1972-10-26,3.4790
1972-10-27,3.5050
1972-10-30,3.5790
1972-10-31,3.5475
1972-11-01,3.5875
1972-11-02,3.5750
1972-11-03,3.5512
1972-11-06,3.5125
1972-11-08,3.5675
1972-11-09,3.5625
1972-11-10,3.5375
1972-11-13,3.6400
1972-11-14,3.7125
1972-11-15,3.7250
1972-11-16,3.6950
1972-11-17,3.7250
1972-11-20,3.6850
1972-11-21,3.7450
1972-11-22,3.7225
1972-11-24,3.7925
1972-11-27,3.8800
1972-11-28,3.8275
1972-11-29,3.7950
1972-11-30,3.7950
1972-12-01,3.8625
1972-12-04,3.9662
1972-12-05,4.0550
1972-12-06,4.0150
1972-12-07,4.0750
1972-12-08,4.1812
1972-12-11,4.2500
1972-12-12,4.3550
1972-12-13,4.2550
1972-12-14,4.3200
1972-12-15,4.3525
1972-12-18,4.2587
1972-12-19,4.1587
1972-12-20,4.1700
1972-12-21,4.2725
1972-12-22,4.1720
1972-12-26,4.1380
1972-12-27,4.1615
1972-12-29,4.2645
1973-01-02,4.2300
1973-01-03,4.2925
1973-01-04,4.2400
1973-01-05,4.2775
1973-01-08,4.2200
1973-01-09,4.2750
1973-01-10,4.3775
1973-01-11,4.3250
1973-01-12,4.3500
1973-01-15,4.3400
1973-01-16,4.4475
1973-01-17,4.5362
1973-01-18,4.6362
1973-01-19,4.7362
1973-01-22,4.7750
1973-01-23,4.7500
1973-01-24,4.7162
1973-01-26,4.8162
1973-01-29,4.9162
1973-01-30,4.9275
1973-01-31,4.9037
1973-02-01,4.9837
1973-02-02,5.0837
1973-02-05,5.1837
1973-02-06,5.2837
1973-02-07,5.3837
1973-02-08,5.4837
1973-02-09,5.5325
1973-02-12,5.6325
1973-02-13,5.7325
1973-02-14,5.8325
1973-02-15,5.9325
1973-02-16,6.0325
1973-02-20,6.0850
1973-02-21,6.2350
1973-02-22,6.3850
1973-02-23,6.4585
1973-02-26,6.5320
1973-02-27,6.3137
1973-02-28,6.1510
1973-03-01,6.2425
1973-03-02,6.3175
